accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,severity_index,risk_quartile
23,Chennai,Tamil Nadu,12.98416,80.15398,2023-07-26,23:00,23,Wednesday,Weekday,urban,2,0,clear,high,36,medium,distraction,minor,3,2,Non Peak Hour,No Festival,0.1,6,Q1
24,Delhi,Delhi,28.528172,77.00301,2023-03-26,1:00,1,Sunday,Weekend,highway,5,1,clear,high,29,high,drunk driving,minor,3,2,Non Peak Hour,No Festival,0.3,6,Q2
25,Delhi,Delhi,28.631252,77.16885,2022-11-02,14:00,14,Wednesday,Weekday,highway,4,0,rain,low,32,high,overspeeding,major,1,0,Non Peak Hour,No Festival,0.65,0,Q4
26,Chennai,Tamil Nadu,12.964354,80.26297,2024-10-11,13:00,13,Friday,Weekday,urban,6,0,clear,high,39,high,weather,major,1,1,Non Peak Hour,No Festival,0.3,1,Q2
27,Chennai,Tamil Nadu,13.171632,80.20031,2023-09-05,5:00,5,Tuesday,Weekday,highway,4,1,rain,medium,29,high,weather,minor,1,1,Non Peak Hour,No Festival,0.45,1,Q2
28,Mumbai,Maharashtra,18.876038,72.81606,2024-01-09,8:00,8,Tuesday,Weekday,rural,3,1,rain,medium,28,high,overspeeding,minor,1,1,Peak Hour,No Festival,0.6,1,Q3
29,Delhi,Delhi,28.494879,77.08974,2025-04-08,17:00,17,Tuesday,Weekday,urban,6,0,fog,low,17,high,drunk driving,minor,4,0,Peak Hour,No Festival,0.8,0,Q4
30,Bangalore,Karnataka,13.181455,77.70468,2023-05-21,17:00,17,Sunday,Weekend,rural,3,1,clear,high,36,high,distraction,minor,1,1,Peak Hour,No Festival,0.45,1,Q2
31,Mumbai,Maharashtra,19.277811,72.88994,2024-12-31,7:00,7,Tuesday,Weekday,rural,6,0,clear,high,24,low,poor road,minor,3,1,Non Peak Hour,No Festival,0.1,3,Q1
32,Kolkata,West Bengal,22.644485,88.376915,2024-10-11,7:00,7,Friday,Weekday,urban,6,1,fog,low,18,low,overspeeding,minor,5,4,Non Peak Hour,No Festival,0.45,20,Q2
33,Bangalore,Karnataka,13.007483,77.74578,2023-10-09,3:00,3,Monday,Weekday,highway,1,0,rain,medium,23,medium,drunk driving,minor,4,4,Non Peak Hour,No Festival,0.25,16,Q1
34,Delhi,Delhi,28.767687,77.10251,2022-06-02,17:00,17,Thursday,Weekday,rural,1,1,fog,low,27,medium,poor road,minor,5,2,Peak Hour,No Festival,0.6,10,Q3
35,Chandigarh,Punjab,30.79305,76.86473,2023-12-21,4:00,4,Thursday,Weekday,highway,6,0,clear,high,35,low,overspeeding,minor,5,1,Non Peak Hour,No Festival,0.1,5,Q1
36,Delhi,Delhi,28.513788,77.26605,2024-01-02,14:00,14,Tuesday,Weekday,rural,6,1,fog,low,24,high,drunk driving,minor,1,0,Non Peak Hour,No Festival,0.65,0,Q4
37,Chennai,Tamil Nadu,12.941766,80.271835,2023-02-19,18:00,18,Sunday,Weekend,highway,5,1,clear,high,32,low,weather,fatal,4,4,Peak Hour,No Festival,0.45,16,Q2
38,Pune,Maharashtra,18.497326,73.91976,2023-12-04,6:00,6,Monday,Weekday,rural,5,0,rain,medium,20,low,drunk driving,minor,2,1,Non Peak Hour,No Festival,0.25,2,Q1
39,Kolkata,West Bengal,22.568336,88.32672,2023-09-02,1:00,1,Saturday,Weekend,rural,4,1,rain,medium,30,high,weather,minor,4,3,Non Peak Hour,No Festival,0.45,12,Q2
40,Mumbai,Maharashtra,18.945509,72.86568,2024-11-19,22:00,22,Tuesday,Weekday,highway,5,1,rain,medium,40,high,distraction,minor,2,2,Non Peak Hour,No Festival,0.45,4,Q2
41,Chandigarh,Punjab,30.739178,76.722244,2023-07-21,9:00,9,Friday,Weekday,urban,4,0,rain,medium,29,high,drunk driving,fatal,3,3,Peak Hour,No Festival,0.8,9,Q4
42,Hyderabad,Telangana,17.36441,78.44229,2022-03-01,22:00,22,Tuesday,Weekday,urban,4,1,rain,medium,20,medium,overspeeding,major,1,0,Non Peak Hour,No Festival,0.25,0,Q1
43,Chennai,Tamil Nadu,13.174093,80.150345,2025-01-13,13:00,13,Monday,Weekday,highway,2,1,clear,high,20,low,weather,minor,1,1,Non Peak Hour,No Festival,0.1,1,Q1
44,Chandigarh,Punjab,30.75772,76.71868,2022-11-01,0:00,0,Tuesday,Weekday,rural,3,1,rain,medium,26,low,drunk driving,major,2,2,Non Peak Hour,No Festival,0.25,4,Q1
45,Bangalore,Karnataka,13.032625,77.61483,2024-06-21,9:00,9,Friday,Weekday,urban,2,1,rain,medium,21,high,distraction,minor,1,1,Peak Hour,No Festival,0.6,1,Q3
46,Chandigarh,Punjab,30.774778,76.86223,2025-04-11,11:00,11,Friday,Weekday,urban,6,1,rain,low,31,low,poor road,major,4,4,Non Peak Hour,No Festival,0.45,16,Q2
47,Delhi,Delhi,28.683622,77.27394,2023-02-06,15:00,15,Monday,Weekday,rural,2,1,rain,medium,16,medium,poor road,major,3,3,Non Peak Hour,No Festival,0.25,9,Q1
48,Hyderabad,Telangana,17.384544,78.42067,2022-05-23,14:00,14,Monday,Weekday,highway,4,0,rain,low,22,high,weather,major,2,0,Non Peak Hour,No Festival,0.65,0,Q4
49,Hyderabad,Telangana,17.217785,78.28067,2024-12-23,13:00,13,Monday,Weekday,rural,3,1,fog,low,31,medium,distraction,major,2,2,Non Peak Hour,No Festival,0.45,4,Q2
50,Pune,Maharashtra,18.482992,73.94413,2024-02-29,9:00,9,Thursday,Weekday,highway,2,1,clear,high,32,high,overspeeding,major,3,1,Peak Hour,No Festival,0.45,3,Q2
51,Hyderabad,Telangana,17.224482,78.470634,2023-02-23,7:00,7,Thursday,Weekday,rural,3,1,fog,low,17,medium,drunk driving,major,2,2,Non Peak Hour,No Festival,0.45,4,Q2
52,Bangalore,Karnataka,12.863932,77.79704,2024-07-21,2:00,2,Sunday,Weekend,urban,4,0,fog,low,15,low,drunk driving,major,1,0,Non Peak Hour,No Festival,0.45,0,Q2
53,Mumbai,Maharashtra,19.090551,72.9844,2023-03-14,21:00,21,Tuesday,Weekday,rural,1,1,rain,low,29,medium,poor road,minor,3,0,Non Peak Hour,No Festival,0.45,0,Q2
54,Chandigarh,Punjab,30.790068,76.8054,2024-09-30,3:00,3,Monday,Weekday,highway,5,1,rain,low,25,low,weather,major,3,1,Non Peak Hour,No Festival,0.45,3,Q2
55,Delhi,Delhi,28.502884,77.16546,2022-11-17,6:00,6,Thursday,Weekday,urban,5,1,fog,low,32,medium,drunk driving,minor,3,3,Non Peak Hour,No Festival,0.45,9,Q2
56,Chandigarh,Punjab,30.774233,76.72531,2023-09-07,0:00,0,Thursday,Weekday,urban,3,0,clear,high,40,low,distraction,major,2,1,Non Peak Hour,No Festival,0.1,2,Q1
57,Mumbai,Maharashtra,19.232609,72.86985,2023-06-04,6:00,6,Sunday,Weekend,urban,6,0,fog,low,21,medium,weather,major,2,1,Non Peak Hour,No Festival,0.45,2,Q2
58,Chennai,Tamil Nadu,12.959773,80.15342,2022-06-28,2:00,2,Tuesday,Weekday,urban,1,0,clear,high,31,low,overspeeding,minor,1,0,Non Peak Hour,No Festival,0.1,0,Q1
59,Chennai,Tamil Nadu,12.985135,80.22625,2025-03-28,23:00,23,Friday,Weekday,rural,2,0,rain,low,25,high,overspeeding,fatal,4,4,Non Peak Hour,No Festival,0.85,16,Q4
60,Mumbai,Maharashtra,19.061169,72.872826,2024-04-17,14:00,14,Wednesday,Weekday,urban,5,1,clear,high,19,low,poor road,minor,2,0,Non Peak Hour,No Festival,0.1,0,Q1
61,Delhi,Delhi,28.463133,76.9767,2024-12-31,9:00,9,Tuesday,Weekday,rural,1,1,rain,medium,39,medium,distraction,major,1,0,Peak Hour,No Festival,0.4,0,Q2
62,Chennai,Tamil Nadu,12.852053,80.12161,2023-05-13,14:00,14,Saturday,Weekend,urban,6,1,rain,medium,27,high,distraction,major,3,1,Non Peak Hour,No Festival,0.45,3,Q2
63,Chennai,Tamil Nadu,13.017299,80.224815,2024-04-02,0:00,0,Tuesday,Weekday,rural,3,0,fog,low,26,low,overspeeding,major,4,1,Non Peak Hour,No Festival,0.45,4,Q2
64,Pune,Maharashtra,18.560997,73.81117,2024-08-17,23:00,23,Saturday,Weekend,rural,2,1,fog,low,24,medium,drunk driving,major,2,2,Non Peak Hour,No Festival,0.45,4,Q2
65,Chennai,Tamil Nadu,12.97141,80.19749,2023-12-11,7:00,7,Monday,Weekday,rural,4,1,rain,medium,18,high,drunk driving,major,1,0,Non Peak Hour,No Festival,0.45,0,Q2
66,Mumbai,Maharashtra,19.264702,72.88661,2022-09-22,10:00,10,Thursday,Weekday,highway,1,1,clear,high,21,high,poor road,major,2,2,Peak Hour,No Festival,0.45,4,Q2
67,Mumbai,Maharashtra,18.811625,72.87765,2022-02-27,5:00,5,Sunday,Weekend,rural,2,1,fog,low,17,high,drunk driving,minor,5,5,Non Peak Hour,No Festival,0.65,25,Q4
68,Chandigarh,Punjab,30.674067,76.77462,2024-04-23,21:00,21,Tuesday,Weekday,rural,4,0,clear,high,36,high,distraction,major,3,1,Non Peak Hour,No Festival,0.3,3,Q2
69,Mumbai,Maharashtra,19.208567,72.89686,2023-05-26,6:00,6,Friday,Weekday,highway,6,1,fog,low,34,low,poor road,major,1,1,Non Peak Hour,No Festival,0.45,1,Q2
70,Hyderabad,Telangana,17.530897,78.305176,2024-11-26,19:00,19,Tuesday,Weekday,highway,2,1,fog,low,38,low,poor road,minor,3,3,Peak Hour,No Festival,0.6,9,Q3
71,Pune,Maharashtra,18.442448,73.87857,2024-03-03,14:00,14,Sunday,Weekend,urban,4,0,fog,low,19,high,drunk driving,major,2,2,Non Peak Hour,No Festival,0.65,4,Q4
72,Delhi,Delhi,28.47365,77.060875,2023-03-24,11:00,11,Friday,Weekday,highway,2,1,clear,high,21,high,weather,fatal,5,5,Non Peak Hour,No Festival,0.5,25,Q3
73,Bangalore,Karnataka,12.984625,77.76782,2022-09-21,6:00,6,Wednesday,Weekday,rural,1,1,rain,low,19,low,distraction,fatal,1,1,Non Peak Hour,No Festival,0.65,1,Q4
74,Bangalore,Karnataka,12.954595,77.48851,2024-02-25,13:00,13,Sunday,Weekend,highway,1,1,fog,low,29,medium,overspeeding,major,2,0,Non Peak Hour,No Festival,0.45,0,Q2
75,Chandigarh,Punjab,30.78901,76.88736,2022-05-02,19:00,19,Monday,Weekday,urban,1,1,clear,high,23,high,weather,minor,4,0,Peak Hour,No Festival,0.45,0,Q2
76,Pune,Maharashtra,18.528017,73.85037,2023-09-05,6:00,6,Tuesday,Weekday,urban,4,1,rain,low,39,low,poor road,minor,2,1,Non Peak Hour,No Festival,0.45,2,Q2
77,Pune,Maharashtra,18.54944,73.80409,2025-04-14,5:00,5,Monday,Weekday,urban,4,1,fog,low,39,high,drunk driving,minor,2,0,Non Peak Hour,No Festival,0.65,0,Q4
78,Chennai,Tamil Nadu,12.919435,80.20763,2023-03-28,15:00,15,Tuesday,Weekday,urban,2,1,fog,low,27,high,poor road,fatal,5,5,Non Peak Hour,No Festival,0.85,25,Q4
79,Delhi,Delhi,28.813866,77.14953,2025-01-31,21:00,21,Friday,Weekday,urban,6,1,fog,low,19,high,poor road,minor,3,1,Non Peak Hour,No Festival,0.65,3,Q4
80,Chandigarh,Punjab,30.658768,76.83699,2024-03-01,14:00,14,Friday,Weekday,highway,6,0,rain,medium,36,medium,drunk driving,major,3,1,Non Peak Hour,No Festival,0.25,3,Q1
81,Pune,Maharashtra,18.499609,73.81264,2024-06-14,6:00,6,Friday,Weekday,highway,2,0,rain,medium,37,medium,overspeeding,minor,3,0,Non Peak Hour,No Festival,0.25,0,Q1
82,Kolkata,West Bengal,22.641848,88.38188,2024-11-05,22:00,22,Tuesday,Weekday,rural,1,1,fog,low,30,low,overspeeding,minor,1,0,Non Peak Hour,No Festival,0.45,0,Q2
83,Hyderabad,Telangana,17.386509,78.48781,2022-04-11,0:00,0,Monday,Weekday,rural,1,1,rain,medium,38,low,weather,major,3,0,Non Peak Hour,No Festival,0.25,0,Q1
84,Hyderabad,Telangana,17.335804,78.27175,2023-04-21,3:00,3,Friday,Weekday,urban,5,1,fog,low,40,low,weather,major,2,2,Non Peak Hour,No Festival,0.45,4,Q2
85,Chandigarh,Punjab,30.645926,76.791405,2025-01-23,17:00,17,Thursday,Weekday,highway,2,0,fog,low,36,medium,weather,major,3,2,Peak Hour,No Festival,0.6,6,Q3
86,Chennai,Tamil Nadu,12.93952,80.15309,2023-12-07,14:00,14,Thursday,Weekday,rural,2,1,rain,low,25,medium,overspeeding,minor,5,1,Non Peak Hour,No Festival,0.45,5,Q2
87,Hyderabad,Telangana,17.512138,78.47155,2024-04-24,6:00,6,Wednesday,Weekday,highway,1,0,rain,low,30,low,poor road,minor,5,5,Non Peak Hour,No Festival,0.45,25,Q2
88,Mumbai,Maharashtra,18.803192,72.98274,2022-09-28,4:00,4,Wednesday,Weekday,highway,3,0,fog,low,19,low,distraction,minor,5,4,Non Peak Hour,No Festival,0.45,20,Q2
89,Delhi,Delhi,28.83892,76.991486,2025-02-16,22:00,22,Sunday,Weekend,highway,3,0,clear,high,24,high,distraction,minor,2,1,Non Peak Hour,No Festival,0.3,2,Q2
90,Hyderabad,Telangana,17.470165,78.47255,2022-09-24,2:00,2,Saturday,Weekend,urban,3,1,rain,medium,20,medium,weather,major,1,1,Non Peak Hour,No Festival,0.25,1,Q1
91,Pune,Maharashtra,18.537548,73.723175,2022-10-14,23:00,23,Friday,Weekday,rural,3,0,rain,medium,38,high,drunk driving,major,5,3,Non Peak Hour,No Festival,0.45,15,Q2
92,Bangalore,Karnataka,12.941515,77.67435,2024-11-14,5:00,5,Thursday,Weekday,rural,6,0,fog,low,35,high,overspeeding,minor,3,1,Non Peak Hour,No Festival,0.65,3,Q4
93,Pune,Maharashtra,18.467712,73.95499,2025-03-14,9:00,9,Friday,Weekday,rural,1,1,fog,low,18,high,poor road,minor,5,5,Peak Hour,No Festival,0.8,25,Q4
94,Hyderabad,Telangana,17.44697,78.44961,2023-09-19,18:00,18,Tuesday,Weekday,urban,1,0,fog,low,19,high,overspeeding,minor,2,1,Peak Hour,No Festival,0.8,2,Q4
95,Mumbai,Maharashtra,19.250366,72.763,2024-06-06,22:00,22,Thursday,Weekday,urban,4,0,fog,low,35,medium,poor road,major,4,4,Non Peak Hour,No Festival,0.45,16,Q2
96,Kolkata,West Bengal,22.48522,88.32113,2022-09-05,2:00,2,Monday,Weekday,rural,4,1,clear,high,37,low,overspeeding,minor,3,3,Non Peak Hour,No Festival,0.1,9,Q1
97,Chandigarh,Punjab,30.662289,76.86018,2024-08-03,7:00,7,Saturday,Weekend,rural,4,0,clear,high,27,medium,weather,major,3,0,Non Peak Hour,No Festival,0.1,0,Q1
98,Pune,Maharashtra,18.687204,73.85872,2023-03-22,17:00,17,Wednesday,Weekday,highway,4,0,clear,high,16,medium,distraction,major,4,4,Peak Hour,No Festival,0.25,16,Q1
99,Chandigarh,Punjab,30.72989,76.78615,2022-04-17,6:00,6,Sunday,Weekend,highway,2,0,fog,low,34,low,drunk driving,minor,5,2,Non Peak Hour,No Festival,0.45,10,Q2
100,Chennai,Tamil Nadu,12.810721,80.19735,2023-08-05,18:00,18,Saturday,Weekend,urban,2,1,fog,low,36,high,poor road,minor,4,2,Peak Hour,No Festival,0.8,8,Q4
101,Kolkata,West Bengal,22.537912,88.32384,2023-07-16,23:00,23,Sunday,Weekend,highway,5,1,rain,low,40,high,distraction,minor,3,1,Non Peak Hour,No Festival,0.65,3,Q4
102,Bangalore,Karnataka,13.045999,77.52004,2023-04-24,12:00,12,Monday,Weekday,urban,4,1,rain,medium,26,low,distraction,fatal,1,1,Non Peak Hour,No Festival,0.45,1,Q2
103,Bangalore,Karnataka,12.848361,77.43381,2022-10-26,7:00,7,Wednesday,Weekday,rural,2,0,clear,high,25,medium,drunk driving,major,1,0,Non Peak Hour,No Festival,0.1,0,Q1
104,Bangalore,Karnataka,13.057964,77.59045,2023-12-10,20:00,20,Sunday,Weekend,highway,2,0,clear,high,40,medium,drunk driving,minor,4,0,Non Peak Hour,No Festival,0.1,0,Q1
105,Mumbai,Maharashtra,18.990602,72.79996,2024-12-09,20:00,20,Monday,Weekday,highway,2,1,rain,low,23,low,drunk driving,major,1,0,Non Peak Hour,No Festival,0.45,0,Q2
106,Hyderabad,Telangana,17.426893,78.48872,2024-03-01,13:00,13,Friday,Weekday,highway,4,1,fog,low,39,low,distraction,minor,5,1,Non Peak Hour,No Festival,0.45,5,Q2
107,Mumbai,Maharashtra,18.838524,72.97682,2023-11-22,22:00,22,Wednesday,Weekday,rural,1,1,rain,medium,15,low,drunk driving,minor,5,1,Non Peak Hour,No Festival,0.25,5,Q1
108,Chennai,Tamil Nadu,13.10543,80.11737,2023-12-20,4:00,4,Wednesday,Weekday,rural,6,0,clear,high,29,medium,weather,minor,2,1,Non Peak Hour,No Festival,0.1,2,Q1
109,Delhi,Delhi,28.51919,76.85945,2024-02-03,2:00,2,Saturday,Weekend,rural,1,0,rain,low,27,high,poor road,minor,1,0,Non Peak Hour,No Festival,0.65,0,Q4
110,Bangalore,Karnataka,12.94701,77.78542,2024-11-19,16:00,16,Tuesday,Weekday,rural,1,0,clear,high,34,low,distraction,minor,5,5,Non Peak Hour,No Festival,0.1,25,Q1
111,Hyderabad,Telangana,17.49119,78.27063,2025-02-15,8:00,8,Saturday,Weekend,urban,4,0,rain,low,31,high,poor road,minor,3,0,Peak Hour,No Festival,0.8,0,Q4
112,Chennai,Tamil Nadu,12.812744,80.22675,2022-09-07,20:00,20,Wednesday,Weekday,highway,2,0,fog,low,17,low,drunk driving,major,5,2,Non Peak Hour,No Festival,0.45,10,Q2
113,Chennai,Tamil Nadu,13.126298,80.27312,2024-07-07,9:00,9,Sunday,Weekend,highway,6,1,clear,high,34,medium,overspeeding,major,4,1,Peak Hour,No Festival,0.25,4,Q1
114,Kolkata,West Bengal,22.686596,88.39939,2024-08-31,15:00,15,Saturday,Weekend,rural,6,0,fog,low,31,medium,weather,fatal,1,1,Non Peak Hour,No Festival,0.65,1,Q4
115,Hyderabad,Telangana,17.416162,78.47199,2022-02-12,11:00,11,Saturday,Weekend,rural,4,1,rain,low,17,high,distraction,minor,3,1,Non Peak Hour,No Festival,0.65,3,Q4
116,Chennai,Tamil Nadu,12.829772,80.26689,2023-11-23,5:00,5,Thursday,Weekday,rural,3,0,rain,low,24,high,overspeeding,minor,2,1,Non Peak Hour,No Festival,0.65,2,Q4
117,Chandigarh,Punjab,30.703228,76.74514,2022-04-20,22:00,22,Wednesday,Weekday,highway,5,0,rain,low,36,high,drunk driving,minor,4,4,Non Peak Hour,No Festival,0.65,16,Q4
118,Pune,Maharashtra,18.671835,73.77906,2023-06-09,13:00,13,Friday,Weekday,urban,3,0,rain,low,18,low,poor road,minor,1,1,Non Peak Hour,No Festival,0.45,1,Q2
119,Chandigarh,Punjab,30.780407,76.75902,2024-11-28,19:00,19,Thursday,Weekday,rural,1,0,rain,medium,26,high,drunk driving,major,3,0,Peak Hour,No Festival,0.6,0,Q3
120,Bangalore,Karnataka,12.863873,77.57305,2023-06-23,14:00,14,Friday,Weekday,rural,3,0,clear,high,20,high,drunk driving,major,4,0,Non Peak Hour,No Festival,0.3,0,Q2
121,Chandigarh,Punjab,30.612509,76.8941,2024-09-07,11:00,11,Saturday,Weekend,highway,2,1,rain,medium,15,medium,drunk driving,minor,3,2,Non Peak Hour,No Festival,0.25,6,Q1
122,Pune,Maharashtra,18.613758,73.73961,2022-11-08,17:00,17,Tuesday,Weekday,highway,5,0,clear,high,16,high,weather,major,4,1,Peak Hour,No Festival,0.45,4,Q2
123,Kolkata,West Bengal,22.615566,88.245735,2022-09-02,13:00,13,Friday,Weekday,urban,4,1,clear,high,25,low,poor road,major,3,1,Non Peak Hour,No Festival,0.1,3,Q1
124,Chennai,Tamil Nadu,12.917829,80.107956,2022-09-09,0:00,0,Friday,Weekday,highway,6,0,rain,medium,40,high,overspeeding,major,2,0,Non Peak Hour,No Festival,0.45,0,Q2
125,Chandigarh,Punjab,30.669447,76.798386,2024-07-14,13:00,13,Sunday,Weekend,urban,5,1,fog,low,38,medium,weather,minor,4,3,Non Peak Hour,No Festival,0.45,12,Q2
126,Chennai,Tamil Nadu,13.023148,80.267044,2023-10-24,22:00,22,Tuesday,Weekday,rural,4,0,clear,high,36,low,distraction,major,3,3,Non Peak Hour,No Festival,0.1,9,Q1
127,Hyderabad,Telangana,17.469395,78.4269,2022-06-12,23:00,23,Sunday,Weekend,urban,1,0,rain,low,17,medium,poor road,major,3,1,Non Peak Hour,No Festival,0.45,3,Q2
128,Pune,Maharashtra,18.44596,73.86626,2022-12-05,13:00,13,Monday,Weekday,rural,4,1,clear,high,20,medium,distraction,major,2,2,Non Peak Hour,No Festival,0.1,4,Q1
129,Bangalore,Karnataka,12.810804,77.644325,2023-04-12,15:00,15,Wednesday,Weekday,highway,3,0,fog,low,31,low,weather,minor,1,1,Non Peak Hour,No Festival,0.45,1,Q2
130,Kolkata,West Bengal,22.605036,88.21194,2022-07-06,20:00,20,Wednesday,Weekday,urban,5,1,rain,medium,22,medium,overspeeding,major,1,1,Non Peak Hour,No Festival,0.25,1,Q1
131,Chandigarh,Punjab,30.749546,76.70627,2024-01-17,5:00,5,Wednesday,Weekday,urban,1,0,fog,low,24,high,poor road,minor,4,2,Non Peak Hour,No Festival,0.65,8,Q4
132,Delhi,Delhi,28.8028,76.835014,2022-06-27,15:00,15,Monday,Weekday,highway,4,0,rain,medium,19,low,drunk driving,fatal,2,2,Non Peak Hour,No Festival,0.45,4,Q2
133,Pune,Maharashtra,18.571932,73.7245,2025-01-21,3:00,3,Tuesday,Weekday,highway,2,0,clear,high,31,low,drunk driving,major,3,0,Non Peak Hour,No Festival,0.1,0,Q1
134,Bangalore,Karnataka,12.913562,77.619,2023-10-30,19:00,19,Monday,Weekday,highway,3,0,rain,medium,34,medium,poor road,major,4,3,Peak Hour,No Festival,0.4,12,Q2
135,Chandigarh,Punjab,30.771578,76.79813,2023-09-24,20:00,20,Sunday,Weekend,highway,3,1,rain,medium,25,high,weather,fatal,5,5,Non Peak Hour,No Festival,0.65,25,Q4
136,Chennai,Tamil Nadu,12.910539,80.18309,2023-07-08,12:00,12,Saturday,Weekend,highway,5,1,clear,high,28,high,poor road,minor,3,2,Non Peak Hour,No Festival,0.3,6,Q2
137,Hyderabad,Telangana,17.57514,78.48424,2023-07-23,0:00,0,Sunday,Weekend,highway,5,0,rain,low,17,low,distraction,major,1,0,Non Peak Hour,No Festival,0.45,0,Q2
138,Pune,Maharashtra,18.697073,73.82805,2022-11-28,4:00,4,Monday,Weekday,highway,2,0,clear,high,20,high,weather,minor,5,2,Non Peak Hour,No Festival,0.3,10,Q2
